"ZIP Code","JENI Rank","JENI Percentile","JENI Category","Population","Supervisorial District","Service Planning Area","Neighborhood","System Involvement Percentile","System Involvement Category","Inequity Drivers Percentile","Inequity Drivers Category","Criminalization Risk Percentile","Criminalization Risk Category","% Black Population","% Latinx Population","% American Indian / Alaskan Native Population","% Native Hawaiian / Pacific Islander Population","% of Population without a High School Diploma","Below 200% Poverty Level Rate","Unemployment Rate","Mental Health Hospitalizations (per 1K)","Alcohol and Drug-Related Hospitalizations (per 1K)","Violent Crime Rate (per 1K)","Homelessness Rate (per 1K)"
"90047","16","94.6","Highest","53064","2","6","Gramercy Park","98.6","Highest","90.7","Highest","84.9","Highest","57.6","36.7","1.4","0.9","22.2","38.2","8.5","7.1","1","12.8","19"
"93591","17","94.2","Highest","6819","5","1","Northeast Antelope Valley","96.4","Highest","91.4","Highest","81.4","Highest","7.3","61.9","0.8","0.9","33","51.8","10.6","4.2","1.7","4.4","23.5"
"90057","18","93.8","Highest","48383","1","4","Westlake","84.1","Highest","97.1","Highest","89.6","Highest","4.1","68.6","2.2","0.5","41.6","61","7.4","9.4","1.1","11.5","14.6"
"90015","19","93.5","Highest","22515","1","4","Downtown","85.5","Highest","83.9","Highest","96.8","Highest","6.6","62.6","1.1","0.4","29.7","55.2","5.6","7.4","1.7","20.3","34.9"
"90044","20","93.1","Highest","96709","2","6","Vermont Vista","97.5","Highest","91.8","Highest","75.3","High","32.6","64.7","1","0.2","37.8","57.2","6.9","6.6","0.9","15.4","15.4"
"90002","21","92.8","Highest","53732","2","6","Watts","94.2","Highest","99.6","Highest","60.6","High","18.1","79.2","1.5","0.2","49.6","62.3","9.7","6","0.7","12.2","9.8"
"90802","22","92.4","Highest","39427","4","8","Long Beach","90.9","Highest","75.3","High","95.7","Highest","14.1","34.6","2.6","1.3","12.4","39.5","5.9","12.6","2.6","6.8","4.6"
"90011","23","92","Highest","109043","2","6","Central-Alameda","88.4","Highest","96.4","Highest","78.5","High","7.3","90.9","1.7","0.1","57.6","66","8.2","7.7","0.9","6.6","10.8"
"93535","24","91.7","Highest","73859","5","1","Northeast Antelope Valley","100","Highest","81.7","Highest","82.4","Highest","19.7","50","1.2","0.2","21.6","52.9","7.3","6.4","1","5.6","19.8"
"90806","25","91.3","Highest","41910","4","8","Long Beach","93.1","Highest","78.1","High","91.4","Highest","16.2","51.7","1.5","1.2","33.7","44","4.8","10.7","1.6","4.8","4.1"
"90008","26","90.9","Highest","31211","2","6","Baldwin Hills/Crenshaw","97.8","Highest","80.6","Highest","83.5","Highest","61.8","25.1","1.4","0.2","15","40.2","9.9","8.7","1.3","9.5","3.6"
"90401","27","90.6","Highest","7920","3","5","Santa Monica","77.5","High","69.9","High","98.9","Highest","9.7","11.9","2.4","0.8","5.7","31.8","8.5","21.6","4.3","7.8","38.5"
"90012","28","90.2","Highest","37488","1","4","Elysian Park","63.4","High","95.7","Highest","97.1","Highest","14.1","30.6","2","0.6","28.5","49.8","7.9","6.2","2.9","15.7","29.7"
"90062","29","89.9","Highest","36503","2","6","Vermont Square","93.5","Highest","73.5","High","88.9","Highest","30","63.6","1","0.1","36","46.3","4.6","8.6","1.1","9.2","13.2"
"90033","30","89.5","Highest","49818","1","4","Boyle Heights","86.6","Highest","87.5","Highest","84.6","Highest","1.7","90.9","1.5","0.3","49.5","61.3","5.8","8.1","1","7.3","10.9"
"93553","31","89.1","Highest","2216","5","3","Southeast Antelope Valley","90.6","Highest","75.6","High","87.1","Highest","4.6","42","1.8","0","21.5","38.3","10.1","4.4","2","5.9","89.2"
"90017","32","88.8","Highest","30088","1","4","Westlake","85.1","Highest","94.6","Highest","74.9","High","7.6","64.9","2.5","0.5","38.3","64.1","5.8","5.3","1.2","11.5","9.7"
"90028","33","88.4","Highest","31827","3","4","Hollywood","60.1","High","82.4","Highest","98.6","Highest","9","31.9","2.7","0.4","11.6","43.5","8.2","26.6","2.1","19.6","27"
"91767","34","88","Highest","51570","1","3","Pomona","84.8","Highest","84.2","Highest","85.3","Highest","7.5","67.7","4.3","0.5","25.1","39.6","7.5","8.7","1.1","3.8","5.8"
